縣市別,鄉鎮市區,清運方式,清運路線序號,清運路線名稱,dbid
新北市,板橋區,沿線清運(不落地),F22020001,A01路線下午,5357999198
新北市,板橋區,沿線清運(不落地),F22020002,A02路線下午,5234999205
新北市,板橋區,沿線清運(不落地),F22020003,A03路線下午,5111999217
新北市,板橋區,沿線清運(不落地),F22020004,A04路線下午,5098999229
新北市,板橋區,沿線清運(不落地),F22020005,A05路線下午,5975999231
新北市,板橋區,沿線清運(不落地),F22020006,A09路線,5852999243
新北市,板橋區,沿線清運(不落地),F22020007,A10路線下午,5739999255
新北市,板橋區,沿線清運(不落地),F22020008,A11路線(一、四)下午,5616999267
新北市,板橋區,沿線清運(不落地),F22020009,A12路線下午(1.4版),5593999279
新北市,板橋區,沿線清運(不落地),F22020010,A13路線下午,5470999281
新北市,板橋區,沿線清運(不落地),F22020011,A14路線下午,5357999293
新北市,板橋區,沿線清運(不落地),F22020012,A16路線,5234999300
新北市,板橋區,沿線清運(不落地),F22020013,A17路線下午,5111999312
新北市,板橋區,沿線清運(不落地),F22020014,A19路線下午,5098999324
新北市,板橋區,沿線清運(不落地),F22020015,B01路線下午,5975999336
新北市,板橋區,沿線清運(不落地),F22020016,B02路線(一、四)下午,5852999348
新北市,板橋區,沿線清運(不落地),F22020017,B03路線下午,5739999350
新北市,板橋區,沿線清運(不落地),F22020018,B04路線下午,5616999362
新北市,板橋區,沿線清運(不落地),F22020019,B06路線下午,5593999374
新北市,板橋區,沿線清運(不落地),F22020020,B08路線下午,5470999386
新北市,板橋區,沿線清運(不落地),F22020021,B09路線下午,5357999398
新北市,板橋區,沿線清運(不落地),F22020022,B10路線下午,5234999405
新北市,板橋區,沿線清運(不落地),F22020023,B11路線下午,5111999417
新北市,板橋區,沿線清運(不落地),F22020024,B12路線下午(一、四),5098999429
新北市,板橋區,沿線清運(不落地),F22020025,B13路線下午,5975999431
新北市,板橋區,沿線清運(不落地),F22020026,B15路線下午,5852999443
新北市,板橋區,沿線清運(不落地),F22020027,B16路線晚上,5739999455
新北市,板橋區,沿線清運(不落地),F22020028,C02路線下午(1.4版),5616999467
新北市,板橋區,沿線清運(不落地),F22020029,C03路線(一、四)下午,5593999479
新北市,板橋區,沿線清運(不落地),F22020030,C04路線,5470999481
新北市,板橋區,沿線清運(不落地),F22020031,C05路線下午,5357999493
新北市,板橋區,沿線清運(不落地),F22020032,C06路線下午,5234999500
新北市,板橋區,沿線清運(不落地),F22020033,C07路線(一、四)下午,5111999512
新北市,板橋區,沿線清運(不落地),F22020034,C08路線下午,5098999524
新北市,板橋區,沿線清運(不落地),F22020035,C11路線下午,5975999536
新北市,板橋區,沿線清運(不落地),F22020036,C12路線,5852999548
新北市,板橋區,沿線清運(不落地),F22020037,C15路線下午,5739999550
新北市,板橋區,沿線清運(不落地),F22020038,C16路線下午,5616999562
新北市,板橋區,沿線清運(不落地),F22020039,"C17路線 下午",5593999574
新北市,板橋區,沿線清運(不落地),F22020040,A01路線晚上,5470999586
新北市,板橋區,沿線清運(不落地),F22020041,A02路線晚上,5357999598
新北市,板橋區,沿線清運(不落地),F22020042,A03路線晚上,5234999605
新北市,板橋區,沿線清運(不落地),F22020043,A04路線晚上,5111999617
新北市,板橋區,沿線清運(不落地),F22020044,A05路線晚上,5098999629
新北市,板橋區,沿線清運(不落地),F22020045,A28路線,5975999631
新北市,板橋區,沿線清運(不落地),F22020046,A10路線晚上,5852999643
新北市,板橋區,沿線清運(不落地),F22020047,A11路線晚上,5739999655
新北市,板橋區,沿線清運(不落地),F22020048,A12路線晚上,5616999667
新北市,板橋區,沿線清運(不落地),F22020049,A13路線晚上,5593999679
新北市,板橋區,沿線清運(不落地),F22020050,A14路線晚上,5470999681
新北市,板橋區,沿線清運(不落地),F22020051,A35路線,5357999693
新北市,板橋區,沿線清運(不落地),F22020052,A17路線晚上,5234999700
新北市,板橋區,沿線清運(不落地),F22020053,A19路線晚上,5111999712
新北市,板橋區,沿線清運(不落地),F22020054,B01路線晚上,5098999724
新北市,板橋區,沿線清運(不落地),F22020055,B02路線晚上,5975999736
新北市,板橋區,沿線清運(不落地),F22020056,B03路線晚上,5852999748
新北市,板橋區,沿線清運(不落地),F22020057,B04路線晚上,5739999750
新北市,板橋區,沿線清運(不落地),F22020058,B06路線晚上,5616999762
新北市,板橋區,沿線清運(不落地),F22020059,B08路線晚上,5593999774
新北市,板橋區,沿線清運(不落地),F22020060,B09路線晚上,5470999786
新北市,板橋區,沿線清運(不落地),F22020061,B10路線晚上,5357999798
新北市,板橋區,沿線清運(不落地),F22020062,B11路線晚上,5234999805
新北市,板橋區,沿線清運(不落地),F22020063,B12路線晚上,5111999817
新北市,板橋區,沿線清運(不落地),F22020064,B13路線晚上,5098999829
新北市,板橋區,沿線清運(不落地),F22020065,B15路線晚上,5975999831
新北市,板橋區,沿線清運(不落地),F22020066,C02路線晚上,5852999843
新北市,板橋區,沿線清運(不落地),F22020067,C03路線晚上,5739999855
新北市,板橋區,沿線清運(不落地),F22020068,C21路線,5616999867
新北市,板橋區,沿線清運(不落地),F22020069,C05路線晚上,5593999879
新北市,板橋區,沿線清運(不落地),F22020070,C06路線晚上,5470999881
新北市,板橋區,沿線清運(不落地),F22020071,C07路線晚上,5357999893
新北市,板橋區,沿線清運(不落地),F22020072,C08路線晚上,5234999900
新北市,板橋區,沿線清運(不落地),F22020073,C11路線晚上,5111999912
新北市,板橋區,沿線清運(不落地),F22020074,C29路線,5098999924
新北市,板橋區,沿線清運(不落地),F22020075,C15路線晚上,5975999936
新北市,板橋區,沿線清運(不落地),F22020076,C16路線晚上,5852999948
新北市,板橋區,沿線清運(不落地),F22020077,C17路線晚上,5739999950
新北市,板橋區,沿線清運(不落地),F22020078,B16路線下午,5616999962
新北市,板橋區,沿線清運(不落地),F22020079,C35路線下午,5593999974
新北市,板橋區,沿線清運(不落地),F22020080,C35路線晚上,5470999986
新北市,板橋區,沿線清運(不落地),F22020081,B12路線下午(二、五、六),5357999998
新北市,板橋區,沿線清運(不落地),F22020082,B02路線(二、五、六)下午,6231000005
新北市,板橋區,沿線清運(不落地),F22020083,A11路線(二、五、六)下午,6111000017
新北市,板橋區,沿線清運(不落地),F22020084,C03路線(二、五、六)下午,6091000029
新北市,板橋區,沿線清運(不落地),F22020085,C07路線(二、五、六)下午,6971000031
新北市,板橋區,沿線清運(不落地),F22020086,A12路線下午(2.5.6版),6851000043
新北市,板橋區,沿線清運(不落地),F22020087,C02路線下午(2.5.6版),6731000055
新北市,三重區,沿線清運(不落地),F24120001,路線1下午1,6471003481
新北市,三重區,沿線清運(不落地),F24120002,路線2下午1,6351003493
新北市,三重區,沿線清運(不落地),F24120003,路線3下午1,6231003500
新北市,三重區,沿線清運(不落地),F24120004,路線4下午1,6111003512
新北市,三重區,沿線清運(不落地),F24120005,路線5下午1,6091003524
新北市,三重區,沿線清運(不落地),F24120006,路線6下午1,6971003536
新北市,三重區,沿線清運(不落地),F24120007,路線7下午1,6851003548
新北市,三重區,沿線清運(不落地),F24120008,路線8下午1,6731003550
新北市,三重區,沿線清運(不落地),F24120009,路線9下午1,6611003562
新北市,三重區,沿線清運(不落地),F24120010,路線11下午1,6591003574
新北市,三重區,沿線清運(不落地),F24120011,路線12下午1,6471003586
新北市,三重區,沿線清運(不落地),F24120012,路線13下午1,6351003598
新北市,三重區,沿線清運(不落地),F24120013,路線14下午1,6231003605
新北市,三重區,沿線清運(不落地),F24120014,路線15下午1,6111003617
新北市,三重區,沿線清運(不落地),F24120015,路線16下午1,6091003629
新北市,三重區,沿線清運(不落地),F24120016,路線17下午1,6971003631
新北市,三重區,沿線清運(不落地),F24120017,路線18下午1,6851003643
新北市,三重區,沿線清運(不落地),F24120018,路線19下午1,6731003655
新北市,三重區,沿線清運(不落地),F24120019,路線20下午1,6611003667
新北市,三重區,沿線清運(不落地),F24120020,路線22下午1,6591003679
新北市,三重區,沿線清運(不落地),F24120021,路線23下午1,6471003681
新北市,三重區,沿線清運(不落地),F24120022,路線24下午1,6351003693
新北市,三重區,沿線清運(不落地),F24120023,路線25下午1,6231003700
新北市,三重區,沿線清運(不落地),F24120024,路線26下午1,6111003712
新北市,三重區,沿線清運(不落地),F24120025,路線28下午1,6091003724
新北市,三重區,沿線清運(不落地),F24120026,路線29下午1,6971003736
新北市,三重區,沿線清運(不落地),F24120027,路線30下午1,6851003748
新北市,三重區,沿線清運(不落地),F24120028,路線31下午1,6731003750
新北市,三重區,沿線清運(不落地),F24120029,路線32下午1,6611003762
新北市,三重區,沿線清運(不落地),F24120030,路線33下午1,6591003774
